UI,E1a,E2a,E3a,E4a,E5a,N1a,N2a,N3a,N4a,N5a,D1a,D2a,D3a,D4a,D5a,I1a,I2a,I3a,I4a,I5a,A1a,A2a,A3a,A4a,A5a,E1b,E2b,E3b,E4b,E5b,N1b,N2b,N3b,N4b,N5b,D1b,D2b,D3b,D4b,D5b,I1b,I2b,I3b,I4b,I5b,A1b,A2b,A3b,A4b,A5b,E1c,E2c,E3c,E4c,E5c,N1c,N2c,N3c,N4c,N5c,D1c,D2c,D3c,D4c,D5c,I1c,I2c,I3c,I4c,I5c,A1c,A2c,A3c,A4c,A5c,mean_target
10081,3,3,3,3,3,3,3,3,3,3,2,4,2,2,4,2,2,1,5,4,2,3,4,2,3,2,4,4,5,3,5,1,1,4,5,4,5,4,5,5,1,1,1,1,5,3,2,3,2,2,3,3,4,5,3,4,3,4,3,2,3,4,3,2,4,2,2,1,1,4,2,1,4,2,2,7.55
10082,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,4,5,4,4,5,5,5,4,5,4,5,5,4,5,5,5,2,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,5.13
10083,4,2,4,4,4,4,4,3,5,4,2,2,3,3,4,2,1,1,1,3,2,1,3,4,2,4,1,4,4,4,4,3,3,5,5,4,3,3,2,5,1,2,1,2,4,1,1,2,1,1,3,3,4,4,4,3,3,3,4,4,3,2,2,2,4,2,1,1,1,2,1,1,3,1,1,7.40
10084,4,4,5,3,5,3,2,4,3,5,4,4,4,3,4,3,2,2,1,4,1,1,1,1,2,3,5,3,5,5,3,5,3,4,3,3,4,3,3,3,3,3,3,3,5,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
10085,4,5,4,3,4,2,2,1,2,3,1,3,3,3,4,1,1,1,1,4,2,3,1,3,3,4,2,4,3,3,4,2,3,2,4,2,3,4,3,4,2,1,1,1,4,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
10086,2,1,2,2,2,2,1,1,1,2,4,4,3,4,2,3,3,2,3,2,1,1,1,1,1,2,2,2,2,3,2,1,1,2,4,3,2,2,3,5,2,2,2,2,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,6.40
10087,5,1,1,1,5,5,5,5,3,5,4,4,4,4,5,5,4,5,5,5,2,2,4,2,2,4,3,3,2,4,3,3,5,4,4,5,4,4,5,4,5,4,3,4,4,2,2,4,2,2,5,5,4,4,1,5,1,5,5,2,5,5,4,5,5,4,1,5,2,5,4,1,4,1,1,6.60
10088,3,3,3,2,3,2,3,4,1,4,5,2,3,3,4,2,2,2,1,3,2,2,3,2,2,2,2,1,2,3,2,3,4,1,4,3,2,2,3,4,2,1,1,2,4,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
10089,1,1,1,1,3,1,1,2,1,3,2,1,1,1,3,1,1,1,1,2,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,5,5,5.57
10090,3,3,3,3,3,1,2,2,2,3,3,2,1,1,3,3,2,1,1,2,2,3,3,2,2,3,3,3,3,4,2,2,2,2,4,3,3,2,2,4,2,1,1,1,4,2,2,2,2,2,4,1,2,3,3,2,2,3,2,4,4,3,3,3,5,2,2,1,1,4,1,1,2,1,2,7.18
10091,4,4,4,5,4,2,4,3,5,5,3,4,3,4,5,3,3,3,2,4,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,3,3,5,5,4,5,3,5,3,5,4,5,5,4,4,2,3,5,2,1,5,1,3,7.25
10092,4,2,4,3,5,2,3,1,3,4,3,4,4,5,4,3,3,2,2,4,1,1,2,2,1,3,2,3,3,4,3,2,2,2,3,4,4,3,4,4,3,2,2,2,4,1,1,1,1,1,3,2,2,3,3,3,3,3,4,3,3,4,3,4,5,3,2,2,1,4,2,1,2,1,1,7.33
10093,5,1,1,4,5,1,2,3,2,5,4,3,4,5,5,3,3,3,3,5,3,1,3,1,3,4,2,3,3,5,2,4,4,2,3,4,5,4,4,5,3,4,3,3,5,1,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,6.13
10094,2,1,1,2,2,2,1,1,1,3,2,2,2,2,3,2,2,1,2,2,4,4,3,4,3,1,1,2,1,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,5,5,2,5,2,2,1,2,2,3,1,2,1,2,2,2,1,2,2,3,2,1,1,1,2,5,5,3,4,3,5.44
10095,2,3,3,3,3,3,4,3,2,3,3,4,3,3,3,2,2,3,2,4,3,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29
10096,5,4,3,2,4,2,4,3,2,4,4,3,2,5,4,3,1,1,1,5,2,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75
10097,3,3,4,4,4,3,3,3,2,4,3,2,4,5,4,3,1,1,1,4,2,4,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,2,3,2,2,4,4,3,4,4,2,2,1,2,4,2,2,3,2,2,5.67
10098,2,4,2,3,3,3,2,3,2,3,2,2,3,3,3,2,3,1,3,2,1,3,4,2,4,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,5.13
10099,3,2,2,2,3,1,3,2,1,4,4,4,2,4,5,3,1,1,2,4,1,1,1,1,1,4,2,3,3,3,3,2,3,2,4,4,4,4,4,4,3,2,1,1,4,2,1,2,2,2,3,2,3,3,3,2,2,2,2,4,4,4,3,4,4,3,3,1,1,3,2,2,2,2,3,6.75
10100,5,4,3,4,3,2,1,1,2,4,4,3,3,3,5,2,2,2,1,3,2,4,3,2,2,5,4,4,3,5,4,2,2,2,3,4,4,3,3,5,2,1,1,1,5,2,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.88
10101,5,3,3,4,4,5,4,3,4,4,2,3,3,3,4,4,2,2,2,5,1,1,4,2,2,3,3,4,4,3,4,2,3,4,4,2,4,4,2,4,3,2,1,2,2,1,2,5,2,2,5,2,3,4,4,4,3,4,4,4,4,4,4,3,4,3,2,2,2,3,2,2,4,1,1,8.50
10102,4,3,3,4,4,4,3,4,3,4,4,5,5,5,4,4,4,3,3,4,2,1,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,4,4,4,4,3,2,4,4,3,4,3,5,3,3,3,3,3,4,1,1,4,1,2,8.36
10103,4,1,3,3,4,1,3,1,1,5,4,3,5,5,5,3,2,2,1,5,1,1,2,2,1,5,4,5,4,5,3,4,4,5,5,5,5,4,4,5,3,1,1,1,5,2,2,3,3,3,5,3,5,5,5,5,5,4,2,5,5,5,5,5,5,3,1,1,1,5,2,2,2,1,1,7.77
10104,1,4,4,3,2,2,1,1,2,5,5,4,5,3,5,5,5,4,4,5,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,4,4,3,1,1,1,5,5,5,4,4,5,4,4,3,3,5,1,1,1,1,1,7.80
10105,3,2,2,3,3,2,3,2,2,4,4,4,4,4,4,4,3,3,3,4,2,3,2,2,2,3,3,4,4,4,2,3,2,2,4,3,4,4,3,3,3,4,4,2,4,2,2,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,6.67
10106,3,4,4,4,4,3,3,3,3,4,3,4,4,4,4,3,2,2,2,4,4,3,4,2,3,4,3,4,4,4,2,2,3,2,4,4,3,3,4,4,3,3,2,3,4,2,2,2,1,2,3,3,3,4,4,3,2,3,2,4,3,4,4,4,4,3,3,2,2,4,1,1,2,1,2,7.00
10107,3,1,3,4,5,3,4,4,4,4,5,5,5,5,5,5,4,4,4,5,1,1,1,1,1,4,1,2,1,4,2,3,4,3,4,5,4,4,4,4,4,4,5,5,5,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,7.75
10108,3,2,3,2,3,2,2,2,1,3,2,3,2,3,4,2,1,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,4,3,3,3,2,4,2,4,3,4,4,1,1,1,1,4,3,2,2,1,2,7.92
10109,3,4,4,4,3,3,2,1,3,3,2,2,2,2,3,3,3,1,1,3,4,2,2,3,4,1,1,3,3,2,2,1,1,1,3,1,1,1,1,3,1,1,1,1,3,5,4,4,5,2,1,4,4,4,3,2,2,2,2,2,3,1,1,2,2,1,1,1,1,3,4,3,2,3,3,8.30
10110,3,2,3,2,4,3,2,2,2,5,4,5,4,5,4,2,3,2,2,5,2,1,1,1,1,3,1,2,2,3,3,3,4,3,4,3,3,4,5,5,2,1,1,1,5,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
10111,4,2,2,3,4,2,2,2,1,4,1,3,2,2,5,1,1,1,1,4,3,2,3,2,1,3,2,4,1,2,1,1,1,1,3,1,3,1,3,4,1,1,1,2,2,4,1,4,1,3,4,1,3,2,3,1,2,3,1,4,1,3,2,3,4,1,1,1,1,3,3,2,4,2,3,7.64
